ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,ssl_interlog_key,base_key
29.0,0.0,0.0,0.0,0.0,1.5790344827586205,0.0,11889,148
29.0,0.0,0.0,0.0,0.0,1.5790344827586205,0.0,12411,149
30.0,0.0,0.0,0.0,0.0,1.6521,0.0,6333,150
22.0,0.0,0.0,0.0,0.0,5.1354999999999995,0.0,5039,151
20.0,0.0,0.0,0.0,0.0,4.2818,0.0,6949,152
3.0,0.0,0.0,0.0,0.0,23.825,0.0,10237,153
3.0,0.0,0.0,0.0,0.0,23.825,0.0,1555,154
4.0,0.0,0.0,0.0,0.0,17.06025,0.0,9513,155
2.0,0.0,0.0,0.0,0.0,0.2685,0.0,9144,156
23.0,0.0,0.0,0.0,0.0,4.441086956521739,0.0,9676,157
31.0,0.0,1.0,0.0,0.0,13.307125000000003,0.0,12030,158
41.0,0.0,1.0,0.0,0.0,10.253119047619048,0.0,19394,159
41.0,0.0,1.0,0.0,0.0,10.253119047619048,0.0,7393,160
49.0,0.0,1.0,0.0,0.0,8.7193,0.0,4490,161
49.0,0.0,1.0,0.0,0.0,8.7193,0.0,16494,162
28.0,0.0,1.0,0.0,0.0,11.529551724137933,0.0,11025,163
27.0,1.0,0.0,0.0,0.0,13.893178571428573,0.0,16269,164
36.0,2.0,0.0,0.0,0.0,15.826236842105258,0.0,12600,165
26.0,2.0,0.0,0.0,0.0,21.268785714285713,0.0,676,166
19.0,1.0,0.0,0.0,0.0,10.85955,0.0,9200,167
52.0,1.0,0.0,0.0,0.0,4.618754716981131,0.0,6060,168
52.0,1.0,0.0,0.0,0.0,4.618754716981131,0.0,15961,169
65.0,1.0,1.0,0.0,0.0,10.193059701492537,0.0,8086,170
65.0,1.0,1.0,1.0,0.0,15.25664705882353,0.0,7978,171
13.0,0.0,1.0,1.0,0.0,52.84386666666667,0.0,3993,172
15.0,0.0,1.0,1.0,0.0,46.68911764705882,0.0,5943,173
18.0,0.0,1.0,1.0,1.0,63.913142857142866,0.0,15501,174
72.0,1.0,0.0,1.0,1.0,17.411400000000004,0.0,8567,175
161.0,1.0,0.0,0.0,1.0,7.804380368098161,0.0,2489,176
161.0,1.0,0.0,0.0,1.0,7.804380368098161,0.0,14003,177
166.0,1.0,0.0,0.0,1.0,8.11727380952381,0.0,8224,178
164.0,1.0,0.0,0.0,1.0,8.20870481927711,0.0,18617,179
164.0,2.0,0.0,0.0,0.0,6.422993975903615,0.0,10212,180
